date	set	num	timeSec	scene	prompt	audio	picture	script	type	length	difficulty
2026	Z001	1	8	library	You are being trained to show students how to use the campus library's printing services. Listen to the speaker and repeat what he says. Repeat only once.	Z001-01.mp3	Z001-01.png	Welcome to the Help Desk.	simple	5	1
2026	Z001	2	8	library	You are being trained to show students how to use the campus library's printing services. Listen to the speaker and repeat what he says. Repeat only once.	Z001-02.mp3	Z001-02.png	First select the printer from your computer.	simple	7	3
2026	Z001	3	10	library	You are being trained to show students how to use the campus library's printing services. Listen to the speaker and repeat what he says. Repeat only once.	Z001-03.mp3	Z001-03.png	Check the paper tray supply before you start.	complex	8	3
2026	Z001	4	10	library	You are being trained to show students how to use the campus library's printing services. Listen to the speaker and repeat what he says. Repeat only once.	Z001-04.mp3	Z001-04.png	You can use your student ID for any other services.	simple	10	3
2026	Z001	5	10	library	You are being trained to show students how to use the campus library's printing services. Listen to the speaker and repeat what he says. Repeat only once.	Z001-05.mp3	Z001-05.png	You can pay at the payment kiosk if you prefer that method.	complex	12	4
2026	Z001	6	12	library	You are being trained to show students how to use the campus library's printing services. Listen to the speaker and repeat what he says. Repeat only once.	Z001-06.mp3	Z001-06.png	The help desk is available if you need assistance.	complex	9	4
2026	Z001	7	12	library	You are being trained to show students how to use the campus library's printing services. Listen to the speaker and repeat what he says. Repeat only once.	Z001-07.mp3	Z001-07.png	"When you are ready, simply select Print from your computer and retrieve your document."	complex	14	5
2026	Z002	1	8	grocery store	You are working a part-time job at a grocery store near campus. You are being trained to assist customers. Listen to your trainer and repeat what he says. Repeat only once.	Z002-01.mp3	Z002-01.png	Milk and yogurt are in the dairy section.	simple	8	2
2026	Z002	2	8	grocery store	You are working a part-time job at a grocery store near campus. You are being trained to assist customers. Listen to your trainer and repeat what he says. Repeat only once.	Z002-02.mp3	Z002-02.png	Bread is freshly baked on site every day.	simple	8	2
2026	Z002	3	10	grocery store	You are working a part-time job at a grocery store near campus. You are being trained to assist customers. Listen to your trainer and repeat what he says. Repeat only once.	Z002-03.mp3	Z002-03.png	We have a huge selection of fresh fruits and vegetables.	simple	10	4
2026	Z002	4	10	grocery store	You are working a part-time job at a grocery store near campus. You are being trained to assist customers. Listen to your trainer and repeat what he says. Repeat only once.	Z002-04.mp3	Z002-04.png	This flyer has all our weekly deals and special discounts.	simple	10	3
2026	Z002	5	10	grocery store	You are working a part-time job at a grocery store near campus. You are being trained to assist customers. Listen to your trainer and repeat what he says. Repeat only once.	Z002-05.mp3	Z002-05.png	The checkout counter is located at the front of the store.	simple	11	3
2026	Z002	6	12	grocery store	You are working a part-time job at a grocery store near campus. You are being trained to assist customers. Listen to your trainer and repeat what he says. Repeat only once.	Z002-06.mp3	Z002-06.png	"If you need help while learning, please don't hesitate to ask a full time store associate."	complex	16	5
2026	Z002	7	12	grocery store	You are working a part-time job at a grocery store near campus. You are being trained to assist customers. Listen to your trainer and repeat what he says. Repeat only once.	Z002-07.mp3	Z002-07.png	Download our app and sign up for our newsletter to stay informed about upcoming sales.	simple	15	4
2026	Z003	1	8	student help desk	You are working at the student help desk. Your manager is teaching you how to help new students learn how to use the university's email system. Listen to the manager and repeat what the manager says. Repeat only once.	Z003-01.mp3	Z003-01.png	Check your inbox for new messages.	simple	6	1
2026	Z003	2	8	student help desk	You are working at the student help desk. Your manager is teaching you how to help new students learn how to use the university's email system. Listen to the manager and repeat what the manager says. Repeat only once.	Z003-02.mp3	Z003-02.png	Select Compose to write your e-mail.	simple	7	2
2026	Z003	3	10	student help desk	You are working at the student help desk. Your manager is teaching you how to help new students learn how to use the university's email system. Listen to the manager and repeat what the manager says. Repeat only once.	Z003-03.mp3	Z003-03.png	Select from your contacts list to add recipients to your note.	simple	11	3
2026	Z003	4	10	student help desk	You are working at the student help desk. Your manager is teaching you how to help new students learn how to use the university's email system. Listen to the manager and repeat what the manager says. Repeat only once.	Z003-04.mp3	Z003-04.png	Review sent items to confirm your messages were delivered.	simple	9	3
2026	Z003	5	10	student help desk	You are working at the student help desk. Your manager is teaching you how to help new students learn how to use the university's email system. Listen to the manager and repeat what the manager says. Repeat only once.	Z003-05.mp3	Z003-05.png	Use folders to organize your correspondence efficiently.	simple	7	3
2026	Z003	6	12	student help desk	You are working at the student help desk. Your manager is teaching you how to help new students learn how to use the university's email system. Listen to the manager and repeat what the manager says. Repeat only once.	Z003-06.mp3	Z003-06.png	Set up a few topical filters to manage incoming communications.	simple	10	4
2026	Z003	7	12	student help desk	You are working at the student help desk. Your manager is teaching you how to help new students learn how to use the university's email system. Listen to the manager and repeat what the manager says. Repeat only once.	Z003-07.mp3	Z003-07.png	"To be safe, remember to log out to keep your electronic mail secure in our system."	simple	16	4
2026	Z004	1	8	woodworking class	You are learning to guide new students on how to use tools in a woodworking class. Listen to the speaker and repeat what she says. Repeat only once.	Z004-01.mp3	Z004-01.png	welcome to the wood shop.	simple	5	1
2026	Z004	2	8	woodworking class	You are learning to guide new students on how to use tools in a woodworking class. Listen to the speaker and repeat what she says. Repeat only once.	Z004-02.mp3	Z004-02.png	these two box contains everything you should need.	simple	8	3
2026	Z004	3	10	woodworking class	You are learning to guide new students on how to use tools in a woodworking class. Listen to the speaker and repeat what she says. Repeat only once.	Z004-03.mp3	Z004-03.png	you will learn to use your saw in our classes.	simple	10	3
2026	Z004	4	10	woodworking class	You are learning to guide new students on how to use tools in a woodworking class. Listen to the speaker and repeat what she says. Repeat only once.	Z004-04.mp3	Z004-04.png	your screwdriver can be used with all of our carpentry machines.	simple	11	4
2026	Z004	5	10	woodworking class	You are learning to guide new students on how to use tools in a woodworking class. Listen to the speaker and repeat what she says. Repeat only once.	Z004-05.mp3	Z004-05.png	"All wood will need to be smooth, so use the sand paper provided."	compound	13	5
2026	Z004	6	12	woodworking class	You are learning to guide new students on how to use tools in a woodworking class. Listen to the speaker and repeat what she says. Repeat only once.	Z004-06.mp3	Z004-06.png	Use only what is needed so that your supply last all quarter.	complex	12	4
2026	Z004	7	12	woodworking class	You are learning to guide new students on how to use tools in a woodworking class. Listen to the speaker and repeat what she says. Repeat only once.	Z004-07.mp3	Z004-07.png	"Before you leave the class room, be sure to put all your tools back into the tool box."	complex	18	5
